GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payment-service,com.khaphp.paymentservice.service,WalletServiceImpl,178,0,6,0,49,0,10,0,7,0
payment-service,com.khaphp.paymentservice.service,WalletTransactionServiceImpl,159,0,10,0,48,0,11,0,6,0
payment-service,com.khaphp.paymentservice.controller,WalletController,70,0,8,0,17,0,9,0,5,0
payment-service,com.khaphp.paymentservice.controller,WalletTransactionController,55,0,6,0,13,0,7,0,4,0
